"assay_name","assay_type","Metadata_Plate","Metadata_Well","plate","row","col","strain","drug","concentration_um","bleach","diluent","food","od","well_censor","well_censor_reason","notes","strain_set","phenotype_random_id"
"LM1","48h","p001","A01",1,"A","1","ECA3309","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,1
"LM1","48h","p001","A02",1,"A","2","ECA3309","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,1
"LM1","48h","p001","A03",1,"A","3","ECA3309","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,1
"LM1","48h","p001","A04",1,"A","4","ECA3309","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,1
"LM1","48h","p001","A05",1,"A","5","ECA3309","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,1
"LM1","48h","p001","A06",1,"A","6","ECA3309","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,1
"LM1","48h","p001","A07",1,"A","7","ECA3309","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,1
"LM1","48h","p001","A08",1,"A","8","ECA3309","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,1
"LM1","48h","p001","A09",1,"A","9","ECA3309","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,1
"LM1","48h","p001","A10",1,"A","10","ECA3309","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,1
"LM1","48h","p001","A11",1,"A","11","ECA3309","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,1
"LM1","48h","p001","A12",1,"A","12","ECA3309","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,1
"LM1","48h","p001","B01",1,"B","1","ECA3183","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,2
"LM1","48h","p001","B02",1,"B","2","ECA3183","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,2
"LM1","48h","p001","B03",1,"B","3","ECA3183","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,2
"LM1","48h","p001","B04",1,"B","4","ECA3183","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,2
"LM1","48h","p001","B05",1,"B","5","ECA3183","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,2
"LM1","48h","p001","B06",1,"B","6","ECA3183","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,2
"LM1","48h","p001","B07",1,"B","7","ECA3183","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,2
"LM1","48h","p001","B08",1,"B","8","ECA3183","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,2
